SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AnO
"STC Metro",Popotla,2,5,STC0205,5054,Intermedia,MIGUEL_HIDALGO,1970
"STC Metro",Portales,2,21,STC0221,5055,Intermedia,BENITO_JUAREZ,1970
"STC Metro",Potrero,3,3,STC0303,5082,Intermedia,GUSTAVO_A_MADERO,1979
"STC Metro",Puebla,9,2,STC0902,5162,Intermedia,VENUSTIANO_CARRANZA,1987
"STC Metro",Refineria,7,4,STC0704,5128,Intermedia,AZCAPOTZALCO,1988
"STC Metro",Revolucion,2,9,STC0209,5056,Intermedia,CUAUHTEMOC,1970
"STC Metro","Salto del Agua",1,12,STC0112,5016,Transbordo,CUAUHTEMOC,1969
"STC Metro","Salto del Agua",8,4,STC0804,5149,Transbordo,CUAUHTEMOC,1994
"STC Metro","San Andres Tomatlan",12,10,STC1210,5035,Intermedia,IZTAPALAPA,2012
"STC Metro","San Antonio",7,12,STC0712,5129,Intermedia,BENITO_JUAREZ,1985
"STC Metro","San Antonio Abad",2,15,STC0215,5057,Intermedia,CUAUHTEMOC,1970
"STC Metro","San Cosme",2,8,STC0208,5058,Intermedia,CUAUHTEMOC,1970
"STC Metro","San Joaquin",7,6,STC0706,5130,Intermedia,MIGUEL_HIDALGO,1984
"STC Metro","San Juan de Letran",8,3,STC0803,5150,Intermedia,CUAUHTEMOC,1994
"STC Metro","San Lazaro",1,7,STC0107,5017,Transbordo,VENUSTIANO_CARRANZA,1969
"STC Metro","San Pedro de Los Pinos",7,11,STC0711,5131,Intermedia,BENITO_JUAREZ,1985
"STC Metro","Santa Anita",4,1,STC0401,5094,"Terminal / Transbordo",IZTACALCO,1982
"STC Metro","Santa Anita",8,9,STC0809,5151,Transbordo,IZTACALCO,1994
"STC Metro",Sevilla,1,16,STC0116,5018,Intermedia,CUAUHTEMOC,1969
"STC Metro",Tacuba,2,3,STC0203,5059,Transbordo,MIGUEL_HIDALGO,1970
"STC Metro",Tacuba,7,5,STC0705,5132,Transbordo,MIGUEL_HIDALGO,1984
"STC Metro",Tacubaya,1,19,STC0119,5019,Transbordo,MIGUEL_HIDALGO,1970
"STC Metro",Tacubaya,7,10,STC0710,5133,Transbordo,MIGUEL_HIDALGO,1985
"STC Metro",Tacubaya,9,12,STC0912,5163,"Terminal / Transbordo",MIGUEL_HIDALGO,1988
"STC Metro",Talisman,4,9,STC0409,5095,Intermedia,GUSTAVO_A_MADERO,1981
"STC Metro",Tasquena,2,24,STC0224,5060,Terminal,COYOACAN,1970
"STC Metro","Terminal Aerea",5,11,STC0511,5107,Intermedia,VENUSTIANO_CARRANZA,1981
"STC Metro",Tezonco,12,6,STC1206,5036,Intermedia,IZTAPALAPA,2012
"STC Metro",Tezozomoc,6,2,STC0602,5118,Intermedia,AZCAPOTZALCO,1983
"STC Metro",Tlahuac,12,1,STC1201,5037,Terminal,TLAHUAC,2012
"STC Metro",Tlaltenco,12,2,STC1202,5038,Intermedia,TLAHUAC,2012
"STC Metro",Tlatelolco,3,5,STC0305,5083,Intermedia,CUAUHTEMOC,1970
"STC Metro","UAM Azcapotzalco",6,3,STC0603,5110,Intermedia,AZCAPOTZALCO,1983
"STC Metro",UAM-I,8,18,STC0818,5152,Intermedia,IZTAPALAPA,1994
"STC Metro",Universidad,3,21,STC0321,5084,Terminal,COYOACAN,1983
"STC Metro","Valle Gomez",5,6,STC0506,5108,Intermedia,GUSTAVO_A_MADERO,1982
"STC Metro",Vallejo,6,6,STC0606,5119,Intermedia,AZCAPOTZALCO,1983
"STC Metro",Velodromo,9,4,STC0904,5164,Intermedia,VENUSTIANO_CARRANZA,1987
"STC Metro",Viaducto,2,17,STC0217,5061,Intermedia,BENITO_JUAREZ,1970
"STC Metro","Villa de Cortes",2,19,STC0219,5062,Intermedia,BENITO_JUAREZ,1970
"STC Metro","Viveros/Derechos Humanos",3,18,STC0318,5070,Intermedia,ALVARO_OBREGON,1983
"STC Metro",Xola,2,18,STC0218,5063,Intermedia,BENITO_JUAREZ,1970
"STC Metro",Zapata,12,17,STC1217,5039,Transbordo,BENITO_JUAREZ,2012
"STC Metro",Zapata,3,16,STC0316,5085,Transbordo,BENITO_JUAREZ,1980
"STC Metro",Zapotitlan,12,3,STC1203,5040,Intermedia,TLAHUAC,2012
"STC Metro",Zaragoza,1,2,STC0102,5020,Intermedia,VENUSTIANO_CARRANZA,1969
"STC Metro",Zocalo/Tenochtitlan,2,13,STC0213,5064,Intermedia,CUAUHTEMOC,1970
